;ObjectId;Country;ISO3;Indicator;Unit;Scale;F2030
85;3327;Bulgaria;BGR;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;20.09377554
86;3330;Bulgaria;BGR;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;20.09377554
87;3333;Bulgaria;BGR;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;20.09377554
88;3504;Burundi;BDI;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;8.76586542
89;3507;Burundi;BDI;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;8.305589522
90;3510;Burundi;BDI;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;9.226141318
91;3595;Cabo Verde;CPV;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;0.794976862
92;3598;Cabo Verde;CPV;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;0.764787867
93;3601;Cabo Verde;CPV;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;0.825165856
94;3690;Cambodia;KHM;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;75.82123189
95;3693;Cambodia;KHM;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;75.82123189
96;3696;Cambodia;KHM;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;75.82123189
97;3786;Cameroon;CMR;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;83.067
98;3789;Cameroon;CMR;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;83.067
99;3792;Cameroon;CMR;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;83.067
100;3905;Canada;CAN;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;417.8394943
101;3908;Canada;CAN;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;417.8394943
102;3911;Canada;CAN;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;417.8394943
103;4068;Central African Rep.;CAF;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;14.45941273
104;4071;Central African Rep.;CAF;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;13.36017977
105;4074;Central African Rep.;CAF;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;15.55864569
106;4181;Central Asia;NACA;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;736.0108741
107;4184;Central Asia;NACA;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;712.9240755
108;4187;Central Asia;NACA;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;759.0976726
109;4277;Chad;TCD;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;76.57967907
110;4280;Chad;TCD;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;68.58816039
