ObjectId;Country;ISO3;Indicator;CTS Name;Unit;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
78;Austria;AUT;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;1,188653359;1,25414154;0,377943852;0,417506593;0,46003789;0,443849061;0,486475456;0,489350357;0,541139684;0,502025391;0,515922464;0,490649844;0,462764721;0,459603509;0,547513384;0,572338445;0,485201945;0,47962816;0,449865426;0,45456633;0,40599031;0,377066509;0,358450711;0,37261571;0,39585579;0,415856666;0,434481144;
79;Austria;AUT;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Domestic Currency;107620000;240170000;138200000;152300000;176750000;155180000;180490000;163870000;205950000;186030000;189860000;187900000;214920000;209690000;181690000;189500000;173740000;187920000;179620000;194010000;180600000;199800000;177330000;186240000;185760000;171920000;186450000;
80;Austria;AUT;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Percent of GDP;0,060947579;0,131570586;0,073228708;0,077566915;0,086705656;0,072647636;0,081845596;0,072273704;0,088824195;0,076761421;0,074725967;0,070157909;0,075681919;0,071380938;0,063077147;0,064042642;0,056021921;0,058973222;0,055453641;0,058235711;0,052458933;0,055871233;0,048009838;0,048320823;0,046729901;0,045323138;0,046253595;
81;Austria;AUT;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Domestic Currency;42620000;45200000;47990000;58370000;61950000;72310000;77550000;74210000;79270000;59640000;64850000;73790000;79340000;82410000;75970000;78980000;93300000;93290000;81780000;86330000;79260000;85910000;77160000;76830000;88480000;91610000;96460000;
82;Austria;AUT;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Percent of GDP;0,024136646;0,024761588;0,025428695;0,029728042;0,030389903;0,033851982;0,035166081;0,032729795;0,034188366;0,024609209;0,025523959;0,027551635;0,027938784;0,028053332;0,026374434;0,026691757;0,030084294;0,029276351;0,025247738;0,025913556;0,023022674;0,024023512;0,020890087;0,019933896;0,022258084;0,024151074;0,02392932;
83;Austria;AUT;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Domestic Currency;207710000;217380000;209510000;224450000;299250000;300490000;306920000;324320000;424160000;407560000;421910000;408860000;351350000;391160000;673340000;786380000;603120000;626240000;634370000;568190000;508770000;457250000;513990000;570410000;651480000;645230000;770030000;
84;Austria;AUT;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Percent of GDP;0,117630754;0,119085706;0,111014085;0,114313158;0,146798685;0,140674624;0,139176964;0,143039042;0,182936007;0,168171182;0,166057267;0,152659728;0,123724373;0,133155457;0,233762816;0,265761756;0,194474163;0,196527195;0,195847491;0,1705528;0,147782564;0,127863471;0,139156242;0,147995493;0,163886712;0,170101492;0,19102524;
85;Austria;AUT;Expenditure on waste management;Expenditure on Waste Management;Domestic Currency;506400000;478260000;63100000;58840000;119260000;118820000;125630000;132000000;131730000;123910000;150370000;149170000;151940000;162300000;160270000;160330000;161540000;158530000;158190000;165550000;173190000;173630000;173500000;183990000;190590000;195990000;216280000;
86;Austria;AUT;Expenditure on waste management;Expenditure on Waste Management;Percent of GDP;0,286785488;0,2620017;0,033435105;0,029967415;0,05850363;0,055625674;0,056968598;0,058217666;0,056813844;0,051128892;0,059183312;0,055696942;0,053504145;0,055248826;0,055640786;0,054184468;0,052088069;0,049750026;0,04883761;0,049692913;0,050306548;0,048553164;0,046972914;0,04773705;0,047944938;0,051668694;0,053653674;
87;Austria;AUT;Expenditure on waste water management;Expenditure on Waste Water Management;Domestic Currency;1222610000;1291450000;237600000;300550000;249940000;262390000;342790000;379300000;369490000;387940000;425730000;435620000;454720000;438790000;423710000;413420000;410600000;402930000;343020000;436460000;383460000;350030000;307320000;339050000;374130000;387040000;391930000;
